   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.00050    1.000   -0.000   -0.000   -0.000   -0.000
 0.00100    1.000    0.000    0.001    0.000    0.001
 0.00150    0.998    0.002    0.001    0.001   -0.001
 0.00200    0.995    0.000    0.000    0.001    0.000
 0.00250    0.995    0.005    0.002    0.002   -0.003
 0.00300    0.993    0.003    0.002    0.003   -0.001
 0.00350    0.991    0.003    0.001    0.003   -0.002
 0.00400    0.990    0.005    0.002    0.004   -0.003
 0.00450    0.988    0.004    0.002    0.004   -0.002
 0.00500    0.987    0.006    0.002    0.005   -0.004
 0.00550    0.985    0.006    0.002    0.006   -0.004
 0.00600    0.983    0.007    0.002    0.006   -0.005
 0.00650    0.982    0.007    0.002    0.007   -0.005
 0.00700    0.981    0.007    0.002    0.007   -0.005
 0.00750    0.979    0.008    0.002    0.008   -0.006
 0.00800    0.978    0.009    0.003    0.008   -0.006
 0.00850    0.976    0.010    0.003    0.009   -0.007
 0.00900    0.974    0.009    0.002    0.010   -0.007
 0.00950    0.973    0.011    0.004    0.010   -0.007
 0.01000    0.972    0.011    0.003    0.011   -0.008
 0.01050    0.970    0.011    0.003    0.011   -0.008
 0.01100    0.968    0.012    0.004    0.012   -0.008
 0.01150    0.967    0.012    0.004    0.012   -0.008
 0.01200    0.966    0.013    0.004    0.013   -0.009
 0.01250    0.964    0.013    0.004    0.014   -0.009
 0.01300    0.963    0.014    0.004    0.015   -0.010
 0.01350    0.961    0.015    0.005    0.015   -0.010
 0.01400    0.959    0.015    0.004    0.016   -0.011
 0.01450    0.958    0.016    0.005    0.016   -0.011
 0.01500    0.957    0.017    0.005    0.017   -0.012
 0.01550    0.955    0.017    0.005    0.017   -0.012
 0.01600    0.954    0.018    0.006    0.018   -0.012
 0.01650    0.952    0.018    0.005    0.019   -0.013
 0.01700    0.951    0.019    0.006    0.019   -0.013
 0.01750    0.950    0.020    0.006    0.020   -0.014
 0.01800    0.948    0.020    0.006    0.020   -0.014
 0.01850    0.947    0.020    0.006    0.021   -0.014
 0.01900    0.945    0.021    0.006    0.021   -0.015
 0.01950    0.944    0.021    0.006    0.022   -0.015
 0.02000    0.942    0.022    0.006    0.023   -0.016
 0.02050    0.941    0.023    0.008    0.023   -0.015
 0.02100    0.939    0.023    0.007    0.023   -0.016
 0.02150    0.938    0.024    0.008    0.023   -0.016
 0.02200    0.937    0.024    0.007    0.024   -0.017
 0.02250    0.935    0.025    0.008    0.024   -0.017
 0.02300    0.934    0.025    0.008    0.025   -0.017
 0.02350    0.932    0.026    0.008    0.025   -0.018
 0.02400    0.931    0.027    0.009    0.025   -0.018
 0.02450    0.930    0.027    0.008    0.025   -0.019
 0.02500    0.928    0.028    0.009    0.026   -0.019
 0.02550    0.927    0.028    0.008    0.026   -0.020
 0.02600    0.925    0.029    0.009    0.026   -0.020
 0.02650    0.924    0.029    0.009    0.027   -0.020
 0.02700    0.923    0.030    0.009    0.027   -0.021
 0.02750    0.921    0.030    0.009    0.027   -0.021
 0.02800    0.920    0.031    0.009    0.027   -0.022
 0.02850    0.919    0.032    0.010    0.028   -0.022
 0.02900    0.917    0.032    0.010    0.028   -0.022
 0.02950    0.916    0.033    0.010    0.029   -0.023
 0.03000    0.915    0.034    0.010    0.030   -0.024
 0.03050    0.913    0.034    0.011    0.029   -0.023
 0.03100    0.912    0.035    0.011    0.029   -0.024
 0.03150    0.911    0.035    0.011    0.030   -0.024
 0.03200    0.909    0.036    0.011    0.030   -0.025
 0.03250    0.908    0.036    0.011    0.030   -0.025
 0.03300    0.906    0.037    0.011    0.031   -0.026
 0.03350    0.905    0.038    0.012    0.031   -0.026
 0.03400    0.904    0.038    0.011    0.031   -0.027
 0.03450    0.902    0.039    0.012    0.031   -0.027
 0.03500    0.901    0.039    0.012    0.031   -0.027
 0.03550    0.900    0.040    0.012    0.032   -0.028
 0.03600    0.898    0.040    0.012    0.032   -0.028
 0.03650    0.897    0.041    0.012    0.032   -0.029
 0.03700    0.896    0.042    0.013    0.032   -0.029
 0.03750    0.895    0.042    0.013    0.032   -0.029
 0.03800    0.893    0.043    0.013    0.032   -0.030
 0.03850    0.892    0.043    0.013    0.033   -0.030
 0.03900    0.891    0.044    0.013    0.033   -0.031
 0.03950    0.889    0.045    0.014    0.033   -0.031
 0.04000    0.888    0.045    0.013    0.034   -0.032
 0.04050    0.887    0.046    0.015    0.033   -0.031
 0.04100    0.886    0.047    0.015    0.034   -0.032
 0.04150    0.884    0.047    0.014    0.034   -0.033
 0.04200    0.883    0.047    0.014    0.034   -0.033
 0.04250    0.882    0.048    0.015    0.034   -0.033
 0.04300    0.880    0.049    0.016    0.034   -0.033
 0.04350    0.879    0.049    0.015    0.034   -0.034
 0.04400    0.878    0.050    0.016    0.035   -0.034
 0.04450    0.877    0.051    0.016    0.035   -0.035
 0.04500    0.876    0.052    0.017    0.035   -0.035
 0.04550    0.874    0.052    0.016    0.035   -0.036
 0.04600    0.873    0.053    0.017    0.035   -0.036
 0.04650    0.872    0.053    0.016    0.035   -0.037
 0.04700    0.871    0.054    0.017    0.035   -0.037
 0.04750    0.869    0.054    0.017    0.035   -0.037
 0.04800    0.868    0.055    0.017    0.036   -0.038
 0.04850    0.867    0.056    0.018    0.036   -0.038
 0.04900    0.866    0.056    0.017    0.036   -0.039
 0.04950    0.864    0.057    0.018    0.037   -0.039
