   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.00050    1.000   -0.000   -0.000   -0.000   -0.000
 0.00100    1.000    0.000    0.001   -0.001    0.001
 0.00150    0.998    0.002   -0.001   -0.002   -0.003
 0.00200    0.995    0.000    0.000   -0.004   -0.000
 0.00250    0.995    0.005    0.001   -0.006   -0.004
 0.00300    0.993    0.003    0.000   -0.006   -0.003
 0.00350    0.991    0.003   -0.002   -0.008   -0.005
 0.00400    0.991    0.005    0.000   -0.009   -0.005
 0.00450    0.989    0.004   -0.002   -0.010   -0.006
 0.00500    0.987    0.006   -0.002   -0.011   -0.008
 0.00550    0.986    0.006   -0.002   -0.012   -0.008
 0.00600    0.984    0.007   -0.001   -0.014   -0.008
 0.00650    0.983    0.007   -0.002   -0.016   -0.009
 0.00700    0.981    0.008   -0.002   -0.017   -0.010
 0.00750    0.980    0.008   -0.003   -0.018   -0.011
 0.00800    0.979    0.009   -0.002   -0.019   -0.011
 0.00850    0.977    0.010   -0.003   -0.020   -0.013
 0.00900    0.975    0.009   -0.004   -0.021   -0.013
 0.00950    0.974    0.011   -0.003   -0.023   -0.014
 0.01000    0.973    0.011   -0.004   -0.024   -0.015
 0.01050    0.971    0.011   -0.005   -0.025   -0.016
 0.01100    0.970    0.012   -0.004   -0.027   -0.016
 0.01150    0.969    0.013   -0.004   -0.028   -0.017
 0.01200    0.967    0.013   -0.005   -0.029   -0.018
 0.01250    0.966    0.014   -0.005   -0.030   -0.019
 0.01300    0.964    0.015   -0.005   -0.031   -0.020
 0.01350    0.963    0.015   -0.006   -0.033   -0.021
 0.01400    0.961    0.015   -0.007   -0.034   -0.022
 0.01450    0.960    0.016   -0.006   -0.035   -0.022
 0.01500    0.959    0.017   -0.006   -0.036   -0.023
 0.01550    0.957    0.017   -0.008   -0.037   -0.025
 0.01600    0.956    0.018   -0.006   -0.039   -0.024
 0.01650    0.955    0.019   -0.007   -0.040   -0.026
 0.01700    0.953    0.019   -0.007   -0.041   -0.026
 0.01750    0.952    0.020   -0.008   -0.042   -0.028
 0.01800    0.951    0.020   -0.008   -0.044   -0.028
 0.01850    0.949    0.021   -0.008   -0.045   -0.029
 0.01900    0.948    0.022   -0.008   -0.046   -0.030
 0.01950    0.947    0.022   -0.008   -0.048   -0.030
 0.02000    0.946    0.023   -0.008   -0.049   -0.031
 0.02050    0.944    0.024   -0.008   -0.050   -0.032
 0.02100    0.943    0.024   -0.009   -0.051   -0.033
 0.02150    0.941    0.025   -0.009   -0.052   -0.034
 0.02200    0.940    0.025   -0.009   -0.054   -0.034
 0.02250    0.939    0.026   -0.009   -0.055   -0.035
 0.02300    0.938    0.027   -0.009   -0.057   -0.036
 0.02350    0.936    0.027   -0.010   -0.058   -0.037
 0.02400    0.935    0.028   -0.009   -0.059   -0.037
 0.02450    0.934    0.029   -0.009   -0.060   -0.038
 0.02500    0.932    0.029   -0.010   -0.061   -0.039
 0.02550    0.931    0.030   -0.010   -0.062   -0.040
 0.02600    0.930    0.031   -0.010   -0.064   -0.041
 0.02650    0.928    0.031   -0.010   -0.065   -0.041
 0.02700    0.927    0.032   -0.011   -0.066   -0.043
 0.02750    0.926    0.032   -0.011   -0.067   -0.043
 0.02800    0.925    0.033   -0.010   -0.070   -0.043
 0.02850    0.923    0.034   -0.010   -0.070   -0.044
 0.02900    0.922    0.034   -0.012   -0.071   -0.046
 0.02950    0.921    0.035   -0.012   -0.072   -0.047
 0.03000    0.920    0.036   -0.011   -0.074   -0.047
 0.03050    0.918    0.036   -0.012   -0.075   -0.048
 0.03100    0.917    0.037   -0.012   -0.076   -0.049
 0.03150    0.916    0.037   -0.012   -0.078   -0.049
 0.03200    0.914    0.038   -0.011   -0.079   -0.049
 0.03250    0.913    0.038   -0.012   -0.080   -0.050
 0.03300    0.912    0.039   -0.012   -0.082   -0.051
 0.03350    0.911    0.040   -0.012   -0.083   -0.052
 0.03400    0.910    0.041   -0.013   -0.083   -0.054
 0.03450    0.908    0.041   -0.014   -0.084   -0.055
 0.03500    0.907    0.041   -0.014   -0.086   -0.055
 0.03550    0.906    0.042   -0.013   -0.088   -0.055
 0.03600    0.904    0.043   -0.013   -0.089   -0.056
 0.03650    0.903    0.043   -0.014   -0.090   -0.057
 0.03700    0.902    0.044   -0.014   -0.091   -0.058
 0.03750    0.901    0.045   -0.014   -0.092   -0.059
 0.03800    0.899    0.045   -0.015   -0.092   -0.060
 0.03850    0.898    0.046   -0.015   -0.094   -0.061
 0.03900    0.897    0.047   -0.014   -0.096   -0.061
 0.03950    0.896    0.047   -0.015   -0.097   -0.062
 0.04000    0.895    0.048   -0.015   -0.098   -0.063
 0.04050    0.893    0.049   -0.015   -0.099   -0.064
 0.04100    0.892    0.049   -0.016   -0.100   -0.065
 0.04150    0.891    0.050   -0.017   -0.100   -0.067
 0.04200    0.890    0.050   -0.017   -0.102   -0.067
 0.04250    0.888    0.051   -0.016   -0.104   -0.067
 0.04300    0.887    0.051   -0.017   -0.105   -0.068
 0.04350    0.886    0.052   -0.018   -0.105   -0.070
 0.04400    0.885    0.053   -0.017   -0.107   -0.070
 0.04450    0.884    0.054   -0.017   -0.108   -0.071
 0.04500    0.883    0.054   -0.018   -0.109   -0.072
 0.04550    0.881    0.055   -0.018   -0.109   -0.073
 0.04600    0.880    0.056   -0.018   -0.110   -0.074
 0.04650    0.879    0.056   -0.018   -0.112   -0.074
 0.04700    0.878    0.057   -0.019   -0.112   -0.076
 0.04750    0.877    0.057   -0.019   -0.114   -0.076
 0.04800    0.876    0.058   -0.019   -0.115   -0.077
 0.04850    0.874    0.059   -0.019   -0.115   -0.078
 0.04900    0.873    0.060   -0.019   -0.117   -0.079
 0.04950    0.872    0.060   -0.020   -0.117   -0.080
 0.05000    0.871    0.060   -0.020   -0.118   -0.080
 0.05050    0.870    0.062   -0.020   -0.119   -0.082
 0.05100    0.869    0.062   -0.020   -0.120   -0.082
 0.05150    0.867    0.062   -0.022   -0.121   -0.084
 0.05200    0.867    0.064   -0.021   -0.122   -0.085
 0.05250    0.865    0.064   -0.021   -0.123   -0.085
