   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.00050    1.000   -0.000   -0.000   -0.000   -0.000
 0.00100    1.000    0.000    0.001   -0.001    0.001
 0.00150    0.997    0.001   -0.001   -0.003   -0.002
 0.00200    0.995   -0.001    0.000   -0.006    0.001
 0.00250    0.995    0.003    0.002   -0.007   -0.001
 0.00300    0.993    0.001    0.001   -0.008   -0.000
 0.00350    0.991    0.001    0.000   -0.010   -0.001
 0.00400    0.991    0.003    0.002   -0.012   -0.001
 0.00450    0.988    0.001   -0.001   -0.012   -0.002
 0.00500    0.987    0.003    0.000   -0.014   -0.003
 0.00550    0.986    0.002   -0.001   -0.016   -0.003
 0.00600    0.984    0.002   -0.001   -0.018   -0.003
 0.00650    0.983    0.003    0.000   -0.019   -0.003
 0.00700    0.981    0.003    0.000   -0.021   -0.003
 0.00750    0.979    0.003    0.000   -0.023   -0.003
 0.00800    0.979    0.003   -0.001   -0.024   -0.004
 0.00850    0.977    0.004   -0.002   -0.025   -0.006
 0.00900    0.975    0.003   -0.002   -0.026   -0.005
 0.00950    0.974    0.004   -0.001   -0.029   -0.005
 0.01000    0.973    0.004   -0.001   -0.030   -0.005
 0.01050    0.971    0.004   -0.002   -0.031   -0.006
 0.01100    0.970    0.005   -0.001   -0.033   -0.006
 0.01150    0.969    0.005   -0.001   -0.035   -0.006
 0.01200    0.967    0.005   -0.002   -0.036   -0.007
 0.01250    0.966    0.005   -0.003   -0.037   -0.008
 0.01300    0.964    0.006   -0.002   -0.039   -0.008
 0.01350    0.963    0.006   -0.002   -0.040   -0.008
 0.01400    0.961    0.006   -0.003   -0.042   -0.009
 0.01450    0.960    0.006   -0.003   -0.044   -0.009
 0.01500    0.958    0.007   -0.002   -0.045   -0.009
 0.01550    0.957    0.007   -0.003   -0.046   -0.010
 0.01600    0.956    0.007   -0.002   -0.049   -0.009
 0.01650    0.954    0.007   -0.003   -0.050   -0.010
 0.01700    0.953    0.008   -0.003   -0.051   -0.011
 0.01750    0.952    0.008   -0.004   -0.052   -0.012
 0.01800    0.950    0.008   -0.003   -0.054   -0.011
 0.01850    0.949    0.008   -0.004   -0.056   -0.012
 0.01900    0.948    0.009   -0.004   -0.057   -0.013
 0.01950    0.946    0.009   -0.003   -0.059   -0.012
 0.02000    0.945    0.009   -0.004   -0.061   -0.013
 0.02050    0.944    0.010   -0.003   -0.062   -0.013
 0.02100    0.942    0.009   -0.005   -0.063   -0.014
 0.02150    0.941    0.010   -0.004   -0.065   -0.014
 0.02200    0.940    0.010   -0.004   -0.066   -0.014
 0.02250    0.938    0.010   -0.005   -0.068   -0.015
 0.02300    0.937    0.011   -0.004   -0.070   -0.015
 0.02350    0.936    0.011   -0.004   -0.071   -0.015
 0.02400    0.934    0.011   -0.005   -0.073   -0.016
 0.02450    0.933    0.011   -0.005   -0.074   -0.016
 0.02500    0.932    0.012   -0.005   -0.075   -0.017
 0.02550    0.930    0.012   -0.006   -0.076   -0.018
 0.02600    0.929    0.012   -0.006   -0.078   -0.018
 0.02650    0.927    0.013   -0.004   -0.080   -0.017
 0.02700    0.926    0.013   -0.006   -0.081   -0.019
 0.02750    0.925    0.013   -0.006   -0.082   -0.019
 0.02800    0.924    0.014   -0.004   -0.085   -0.018
 0.02850    0.922    0.014   -0.005   -0.086   -0.019
 0.02900    0.921    0.014   -0.006   -0.087   -0.020
 0.02950    0.920    0.015   -0.006   -0.088   -0.021
 0.03000    0.918    0.015   -0.006   -0.090   -0.021
 0.03050    0.917    0.015   -0.007   -0.091   -0.022
 0.03100    0.916    0.016   -0.006   -0.092   -0.022
 0.03150    0.914    0.016   -0.005   -0.095   -0.021
 0.03200    0.913    0.016   -0.006   -0.096   -0.022
 0.03250    0.912    0.016   -0.006   -0.097   -0.022
 0.03300    0.911    0.017   -0.006   -0.099   -0.023
 0.03350    0.909    0.017   -0.007   -0.100   -0.024
 0.03400    0.908    0.018   -0.007   -0.100   -0.025
 0.03450    0.907    0.018   -0.008   -0.102   -0.026
 0.03500    0.906    0.018   -0.008   -0.104   -0.026
 0.03550    0.904    0.018   -0.007   -0.106   -0.025
 0.03600    0.903    0.018   -0.008   -0.107   -0.026
 0.03650    0.902    0.019   -0.008   -0.108   -0.027
 0.03700    0.900    0.019   -0.008   -0.110   -0.027
 0.03750    0.899    0.020   -0.009   -0.110   -0.029
 0.03800    0.898    0.020   -0.010   -0.111   -0.030
 0.03850    0.897    0.020   -0.010   -0.113   -0.030
 0.03900    0.896    0.021   -0.009   -0.114   -0.030
 0.03950    0.894    0.021   -0.010   -0.115   -0.031
 0.04000    0.893    0.021   -0.010   -0.117   -0.031
 0.04050    0.892    0.022   -0.010   -0.118   -0.032
 0.04100    0.891    0.022   -0.010   -0.120   -0.032
 0.04150    0.890    0.023   -0.011   -0.119   -0.034
 0.04200    0.888    0.022   -0.012   -0.121   -0.034
 0.04250    0.887    0.023   -0.011   -0.123   -0.034
 0.04300    0.886    0.023   -0.012   -0.124   -0.035
 0.04350    0.885    0.024   -0.012   -0.124   -0.036
 0.04400    0.883    0.024   -0.013   -0.126   -0.037
 0.04450    0.882    0.025   -0.012   -0.128   -0.037
 0.04500    0.881    0.025   -0.013   -0.128   -0.038
 0.04550    0.880    0.025   -0.015   -0.128   -0.040
 0.04600    0.879    0.026   -0.014   -0.130   -0.040
 0.04650    0.877    0.026   -0.014   -0.132   -0.040
 0.04700    0.876    0.027   -0.014   -0.132   -0.041
 0.04750    0.875    0.027   -0.014   -0.133   -0.041
 0.04800    0.874    0.027   -0.016   -0.134   -0.043
 0.04850    0.873    0.028   -0.015   -0.135   -0.043
 0.04900    0.872    0.028   -0.016   -0.136   -0.044
 0.04950    0.870    0.028   -0.016   -0.137   -0.044
 0.05000    0.870    0.028   -0.017   -0.138   -0.045
 0.05050    0.868    0.030   -0.017   -0.139   -0.047
 0.05100    0.867    0.030   -0.017   -0.140   -0.047
 0.05150    0.866    0.030   -0.018   -0.141   -0.048
 0.05200    0.865    0.031   -0.018   -0.142   -0.049
 0.05250    0.863    0.031   -0.018   -0.143   -0.049
 0.05300    0.862    0.031   -0.019   -0.144   -0.050
